address,currency,price,expenses,size,bedrooms,bathrooms,listing_url,website,url,description,timestamp
"ARENALES 3768  cochera fija ,pileta y solárium
                ",$,1400000,211000,100,3,3,https://www.argenprop.com/departamento-en-alquiler-en-botanico-4-ambientes--17716529,argenprop,https://www.argenprop.com/inmuebles/alquiler/belgrano-o-br-norte-o-palermo/3-dormitorios-o-4-dormitorios-o-5-o-mas-dormitorios?pagina-1,"Super luminoso   excelente ubicación en el corazón de palermo 
bajas expensas  
a 1   cuadra de  av sta fe ,y del subte linea d  d  .A media cuadra scalabrini ortiz .
A pocas cuadras del shopping alto palermo  cercano a variados comercios y transportes 
cuenta con cochera y pileta con solarium   

el departamento  se encuentra al contrafrente , super tranquilo y muy luminoso
se entrega recién",2025-08-03T15:00:24.652951
"AV LAS HERAS al 3000
                ",USD,5000,750000,204,3,3,https://www.argenprop.com/departamento-en-alquiler-en-recoleta-4-ambientes--17108575,argenprop,https://www.argenprop.com/inmuebles/alquiler/belgrano-o-br-norte-o-palermo/3-dormitorios-o-4-dormitorios-o-5-o-mas-dormitorios?pagina-1,"Semipiso en torre de categoría sobre av las heras. Piso alto en torre, todo con vista abierta y sol.  Palier privado. Se accede a través de un importante hall de entrada con revestimientos de mármol a un living comedor apaisado rodeado de ventanales con la mejor vista abierta de la ciudad a parque la heras y al rio. Tiene un balcón corrido aterrazado. Toilette de recepción. Doble circulación.",2025-08-03T15:00:24.654002
"ARAOZ 2900, Piso 6
                ",$,1200000,303200,92,3,N/A,https://www.argenprop.com/departamento-en-alquiler-en-palermo-4-ambientes--17131986,argenprop,https://www.argenprop.com/inmuebles/alquiler/belgrano-o-br-norte-o-palermo/3-dormitorios-o-4-dormitorios-o-5-o-mas-dormitorios?pagina-1,"Edificio en esquina. Todos sus ambientes son externos, piso alto. Cerca de varias lineas de colectivos y a una cuadra de la plaza coronel díaz. Consta de; living comedor, tres dormitorios , un baño completo y un toilette , en el area de servicio; consta de , cocina , lavadero , dependencia de servicio con su correspondiente baño. Los servicios son centrales, el agua caliente por caldera y la",2025-08-03T15:00:24.655131
"Juncal 1200, Piso 6
                ",$,1200000,637972,95,3,3,https://www.argenprop.com/departamento-en-alquiler-en-recoleta-4-ambientes--17725234,argenprop,https://www.argenprop.com/inmuebles/alquiler/belgrano-o-br-norte-o-palermo/3-dormitorios-o-4-dormitorios-o-5-o-mas-dormitorios?pagina-1,"Departamento ubicado en plena zona de recoleta. Piso alto, luminoso con cochera espacio, balcón . Servicios centrales, agua caliente por caldera y la calefacción por radidores, consta de: hall de entrada, amplio living comedor con salida a balcón a contrafrente abierto. Tres dormitorios, con muy buenos placares,  un baño completo compartimentado y un toilette con ducha. En el área de servicio",2025-08-03T15:00:24.656185
"Av Libertador 2200, Piso 17
                ",USD,2400,520000,165,3,3,https://www.argenprop.com/departamento-en-alquiler-en-palermo-chico-4-ambientes--17672957,argenprop,https://www.argenprop.com/inmuebles/alquiler/belgrano-o-br-norte-o-palermo/3-dormitorios-o-4-dormitorios-o-5-o-mas-dormitorios?pagina-1,"[Companiad-600]

alquiler
departamento al frente piso alto con balcón en av. Libertador entre coronel diaz y ocampo.
Palier privado

living comedor con salida al balcón.
2 dormitorios o 3 y escritorio.
Dos baños

cocina con comedor diario y lavadero incorporado.
Doble circulación.
Baño de servicio 


vista abierta al rio

servicios: cloacas, gas

otros servicios: amueblado, balcón",2025-08-03T15:00:24.657242
"Virrey Loreto 1700
                ",USD,2300,592000,220,3,3,https://www.argenprop.com/departamento-en-alquiler-en-belgrano-5-ambientes--17310380,argenprop,https://www.argenprop.com/inmuebles/alquiler/belgrano-o-br-norte-o-palermo/3-dormitorios-o-4-dormitorios-o-5-o-mas-dormitorios?pagina-1,"Amoblado o sin muebles consultar valor.
Semipiso estilo casa de categoria  , toda la comodidad de una casa, con la seguridad y tranquilidad de un departamento.
Totalmente externo!, Rodeado de jardines con vistas a verdes y a frondosos arboles, en elegante torre de categoría ! Ubicación de privilegio ! Zona residencial y de embajadas, cercano a todos los medios de transporte, comercios, clubes",2025-08-03T15:00:24.658428
"Marcelo T de Alvear 1640 5º A
                ",$,990000,180000,93,3,3,https://www.argenprop.com/departamento-en-alquiler-en-barrio-norte-4-ambientes--17660675,argenprop,https://www.argenprop.com/inmuebles/alquiler/belgrano-o-br-norte-o-palermo/3-dormitorios-o-4-dormitorios-o-5-o-mas-dormitorios?pagina-1,"Luminoso departamento de 4 ambientes en excelente ubicación
puerta blindada y doble circulación
amplio living - comedor con acceso a balcón al frente
cocina completa renovada con conexión para lavarropas
lavadero con baño de servicio.
3 dormitorios con placards de piso a techo. Dormitorio ppal. Con acceso a balcón.
Baño ppal. Con bañera
toilette

la información gráfica y escrita contenida en el",2025-08-03T15:00:24.659618
"Av Presidente Manuel Quintana al 100
                ",USD,3500,N/A,173,4,3,https://www.argenprop.com/departamento-en-alquiler-en-recoleta-5-ambientes--17900465,argenprop,https://www.argenprop.com/inmuebles/alquiler/belgrano-o-br-norte-o-palermo/3-dormitorios-o-4-dormitorios-o-5-o-mas-dormitorios?pagina-1,"Bienvenido a art recoleta, un espectacular departamento de lujo en el corazón de la ciudad de buenos aires.

Premium selection category
            

este impresionante apartamento de lujo, ubicado en el prestigioso barrio de recoleta, te ofrece una experiencia sin igual durante tu estancia en la ciudad. Desde el momento en que ingreses, te sorprenderás por su elegancia y sofisticación.

La cocina",2025-08-03T15:00:24.660729
"Av Pueyrredon 1100, Piso 8
                ",$,890000,198000,80,3,N/A,https://www.argenprop.com/departamento-en-alquiler-en-barrio-norte-4-ambientes--17719572,argenprop,https://www.argenprop.com/inmuebles/alquiler/belgrano-o-br-norte-o-palermo/3-dormitorios-o-4-dormitorios-o-5-o-mas-dormitorios?pagina-1,"Av. Pueyrredón entre mansilla y paraguay, muy luminoso en 8vo. Piso, balcón corrido con protección para niños, al frente, a mts.de subte d y h. Living comedor (6x3). Dos dormitorios con placard al frente (3x3.10 y 3x2,35) y uno al contrafrente (2x3.35). Baño completo y toilette (con ducha). Cocina comedor (2,45x2,75); lavadero independiente. Teléfono. Apto a profesional. Expensas vigentes:",2025-08-03T15:00:24.661879
"Posadas 1200, Piso 5
                ",USD,1800,600000,165,3,4,https://www.argenprop.com/departamento-en-alquiler-en-recoleta-4-ambientes--17012202,argenprop,https://www.argenprop.com/inmuebles/alquiler/belgrano-o-br-norte-o-palermo/3-dormitorios-o-4-dormitorios-o-5-o-mas-dormitorios?pagina-1,"[Companiad-569]

alquiler departamento de 4 ambientes con dependencia.Recoleta

departamento de estilo, techos altos.

 -Living comedor con salida a balcón.
 -Escritorio o play room 
 -dormitorio principal en suite.
 -Segundo dormitorio en suite.
Tercer dormitorio pequeño.
 -Toilete.

-Pisos de parquet de roble.
-Cocina con comedir diario.
-Lavadero 
-dependencia de servicio.

Alquiler sin muebles",2025-08-03T15:00:24.662946
"Laprida 1400, Piso 5
                ",USD,1000,460000,85,3,2,https://www.argenprop.com/departamento-en-alquiler-en-recoleta-4-ambientes--16906281,argenprop,https://www.argenprop.com/inmuebles/alquiler/belgrano-o-br-norte-o-palermo/3-dormitorios-o-4-dormitorios-o-5-o-mas-dormitorios?pagina-2,"Excelente piso muy luminoso  (ver video) .

Condiciones : se necesita un mes de deposito ,un mes de adelanto y seguro de caucion (consultar cual) ajustes cuatrimestrales  por  ipc . Contrato por 2 años .
                                                                Se alquila con muebles o sin muebles",2025-08-03T15:00:30.779627
"Carbajal al 3500
                ",USD,3800,1100000,192,4,2,https://www.argenprop.com/departamento-en-alquiler-en-belgrano-r-5-ambientes--17890177,argenprop,https://www.argenprop.com/inmuebles/alquiler/belgrano-o-br-norte-o-palermo/3-dormitorios-o-4-dormitorios-o-5-o-mas-dormitorios?pagina-2,"Alquiler en belgrano r. 
Si estas buscando un dpto con vistas y luz en todos sus ambientes.. Este piso en el corazon de belgrano r es el indicado.
Zona residencial, a una cuadra de av, de los incas, cercano a muchos colegios de la zona y a una cuadra del club belgrano atlhetic.
Ingreso por palier privado, precioso living comedor con salida a balcon terraza. Toilette.
4 dormitorios, uno de ellos en",2025-08-03T15:00:30.780749
"OLAZABAL al 2200
                ",USD,3000,N/A,120,3,2,https://www.argenprop.com/departamento-en-alquiler-en-belgrano-4-ambientes--17902805,argenprop,https://www.argenprop.com/inmuebles/alquiler/belgrano-o-br-norte-o-palermo/3-dormitorios-o-4-dormitorios-o-5-o-mas-dormitorios?pagina-2,"Departamento de categoria en alquiler - torre unión  - belgrano - vista al rio
 totalmente amoblado y equipado  

3 dormitorios + dependencia.  Cocina equipada con electrodomésticos. 2 baños (1 en suite) + toilette en recepción. Con cochera doble en 2ss y baulera.  Piso de porcelanato en living, alfombra en los dormitorios. Aire acondicionado en todos los ambientes, cortina sun screen en el living",2025-08-03T15:00:30.781839
"Franklin D Roosevelt 2500, Piso 4
                ",$,950000,265000,80,3,2,https://www.argenprop.com/departamento-en-alquiler-en-belgrano-4-ambientes--17501729,argenprop,https://www.argenprop.com/inmuebles/alquiler/belgrano-o-br-norte-o-palermo/3-dormitorios-o-4-dormitorios-o-5-o-mas-dormitorios?pagina-2,"4 amb con balcón al frente
muy luminoso
3 dormitorios con placard
office
living comedor
cocina completa
2 baños
cochera fija

las expensas incluyen cochera, aysa y calefacción central
ideal ubicación a una cuadra de av. Cabildo.",2025-08-03T15:00:30.782905
"Olazabal al 2800
                ",$,1400000,310000,100,3,N/A,https://www.argenprop.com/departamento-en-alquiler-en-belgrano-5-ambientes--17879023,argenprop,https://www.argenprop.com/inmuebles/alquiler/belgrano-o-br-norte-o-palermo/3-dormitorios-o-4-dormitorios-o-5-o-mas-dormitorios?pagina-2,"En el corazon de belgrano piso 17 con toda la vista y sol. Amplio living- comedor a balcón, escritorio o cuarto dormitorio, tres dormitorios todos externo, cocina office y lavadero, baño completo y toilette. Expensas $ 310.000 (aysa incluida) abl $ 44.000.",2025-08-03T15:00:30.784073
"Zabala 2300, Piso 6
                ",$,900000,253172,63,3,2,https://www.argenprop.com/departamento-en-alquiler-en-belgrano-4-ambientes--17388583,argenprop,https://www.argenprop.com/inmuebles/alquiler/belgrano-o-br-norte-o-palermo/3-dormitorios-o-4-dormitorios-o-5-o-mas-dormitorios?pagina-2,"Roberto nicolás negocios inmobiliarios le ofrece en alquiler depto 4 ambientes.- Sin muebles! 
Ubicación: zabala 2320 entre avenida cabildo y vuelta de obligado a muy pocos pasos del subte (línea d)
el departamento: 4 ambientes con balcón. Piso: 6 disposición: frente. Superficie total: 68,137 m2, superficie cubierta: 63,40 superficie descubierta: 4,73m2. Excelente luminosidad.- Moderna cocina",2025-08-03T15:00:30.785145
"Olazabal 2000, Piso 2
                ",$,1150000,200000,90,3,2,https://www.argenprop.com/departamento-en-alquiler-en-belgrano-barrancas-4-ambientes--17292864,argenprop,https://www.argenprop.com/inmuebles/alquiler/belgrano-o-br-norte-o-palermo/3-dormitorios-o-4-dormitorios-o-5-o-mas-dormitorios?pagina-2,"Departamento de 3 amb con dependencia y cochera cubierta en olazabal 2046 piso 2 contrafrente. El departamento cuenta con 2 entradas, una principal y otra de servicio, cocina con comedor diario, lavadero independiente, dormitorio de servicio con baño, living comedor con salida al balcón con una hermosa vista, 2 dormitorios comedor con placard, y baño completo, con cochera cubierta. 
El edificio",2025-08-03T15:00:30.786237
"SINCLAIR al 3100
                ",$,830000,300000,72,3,N/A,https://www.argenprop.com/departamento-en-alquiler-en-palermo-4-ambientes--17505096,argenprop,https://www.argenprop.com/inmuebles/alquiler/belgrano-o-br-norte-o-palermo/3-dormitorios-o-4-dormitorios-o-5-o-mas-dormitorios?pagina-2,"Alquiler dpto. 4 ambientes al contrafrente - vista abierta a bulrich y mesquita - balcón corrido - muy luminoso - lavadero - amplia cocina - apto profesional - sup cub: 72m2 - sup total: 80m2 - excelente ubicacion - sinclair al 3100 ( e/segui y demaria) a 1 cuadra de av libertador y bulrrich y los bosques de palermo - zona tipo residencial -
www.Abbacabanillas.Net

arq.Roberto pablo cabanillas.",2025-08-03T15:00:30.787403
"Crámer 1800, Piso 11
                ",USD,1500,552000,85,4,2,https://www.argenprop.com/departamento-en-alquiler-en-belgrano-5-ambientes--17810633,argenprop,https://www.argenprop.com/inmuebles/alquiler/belgrano-o-br-norte-o-palermo/3-dormitorios-o-4-dormitorios-o-5-o-mas-dormitorios?pagina-2,"Se alquila departamento de 4 ambientes con dependencia de servicio. 
Doble entrada con palier semiprivado.
Portón automatico con cochera en el primer subsuelo fija. 
Camaras de seguridad por todo el edificio. 
Edificio de categoria

para visitarlo comunicarse al 


art. 10 inc. 8 de ley 2340:
“para los casos de alquiler de vivienda, el monto máximo de comisión que se le puede requerir a los",2025-08-03T15:00:30.788506
"BERUTI 3300, Piso 11
                ",USD,4200,600000,141,3,3,https://www.argenprop.com/departamento-en-alquiler-en-palermo-4-ambientes--17311428,argenprop,https://www.argenprop.com/inmuebles/alquiler/belgrano-o-br-norte-o-palermo/3-dormitorios-o-4-dormitorios-o-5-o-mas-dormitorios?pagina-2,",Muy lindo duplex con espectacular terraza en el edificio astor. Recepción compuesta por living comedor con salida a amplia terraza de 70 m2, toileltte, separada la cocina con espacio de lavadero. Por escalera se accede a la planta alta, pasillo de distribución con mucho espacio de guardado, master suite con vestidor y amplio baño, 2do y 3er dormitorios en suite ambos. El departamento cuenta con",2025-08-03T15:00:30.789591
"Paraguay 3300, Piso 4
                ",$,750000,140000,90,3,2,https://www.argenprop.com/departamento-en-alquiler-en-palermo-chico-4-ambientes--17615567,argenprop,https://www.argenprop.com/inmuebles/alquiler/belgrano-o-br-norte-o-palermo/3-dormitorios-o-4-dormitorios-o-5-o-mas-dormitorios?pagina-2,"Palermo,
 departamento 4 ambientes de 90metros cuadrados en muy buen estado,
living comedor 
cocina central con muebles de alto y bajo mesada.
Habitación principal con placard.
Baño completo.
2 habitación con placard.
3 habitación con mueble repisa y lugar de guardado.
Pisos de parquet.
2 baño con ducha.
Alquiler hasta 24 meses.
Garantía de caucion o garantia propietaria.
Aumento trimestral",2025-08-03T15:00:30.790659
"Arenales 2500, Piso 7
                ",$,1299000,250000,110,3,2,https://www.argenprop.com/departamento-en-alquiler-en-recoleta-4-ambientes--17461363,argenprop,https://www.argenprop.com/inmuebles/alquiler/belgrano-o-br-norte-o-palermo/3-dormitorios-o-4-dormitorios-o-5-o-mas-dormitorios?pagina-2,"Alquiler departamento 4 ambientes con dependencia en zona universidades y clínicas.

 ¡Ideal estudiantes y extranjeros en recoleta! Amplio departamento de 4 ambientes con dependencia.

 Descubre este cómodo y funcional departamento de 4 ambientes, estratégicamente ubicado en el corazón de recoleta, a pasos de las principales universidades y centros de salud de la zona. Perfecto para estudiantes y",2025-08-03T15:00:30.791716
"Laprida 1400, Piso 5
                ",$,1100000,460000,85,3,2,https://www.argenprop.com/departamento-en-alquiler-en-recoleta-4-ambientes--16908644,argenprop,https://www.argenprop.com/inmuebles/alquiler/belgrano-o-br-norte-o-palermo/3-dormitorios-o-4-dormitorios-o-5-o-mas-dormitorios?pagina-2,"Excelente piso muy luminoso  (ver video) .

Condiciones : se necesita un mes de deposito ,un mes de adelanto y seguro de caucion (consultar cual) ajustes cuatrimestrales  por  ipc . Contrato duracion 2 años.
                                                                   Se alquila con muebles o sin muebles",2025-08-03T15:00:30.792797
"Avenida Del Libertador 3100, Piso 5
                ",USD,10000,2800000,N/A,4,4,https://www.argenprop.com/departamento-en-alquiler-en-palermo-5-ambientes--16864260,argenprop,https://www.argenprop.com/inmuebles/alquiler/belgrano-o-br-norte-o-palermo/3-dormitorios-o-4-dormitorios-o-5-o-mas-dormitorios?pagina-2,"Buratti,  departamento en alquiler, ubicado en el exclusivo barrio de palermo, sobre la avenida libertador 3100, piso 5, en la moderna torre riva. Este departamento de categoría ofrece una combinación única de lujo, confort y vistas impresionantes. Con una ubicación inmejorable frente a los lagos de palermo, plaza sicilia y el jardín japonés.

El acceso al departamento es a través de un palier",2025-08-03T15:00:30.793929
"Departamento en alquiler en Belgrano calle Arribeños 1500
                ",USD,4800,1200000,200,3,3,https://www.argenprop.com/departamento-en-alquiler-en-belgrano-4-ambientes--17455691,argenprop,https://www.argenprop.com/inmuebles/alquiler/belgrano-o-br-norte-o-palermo/3-dormitorios-o-4-dormitorios-o-5-o-mas-dormitorios?pagina-2,"Departamento de 200 mt en una ubicacion privilegiada de belgrano
dra. Claudia vidal
matricula cucicba: 9204
matricula cmcpsi: 7117",2025-08-03T15:00:30.795038
"La Pampa 1700, Piso 6
                ",$,1850000,464800,100,3,2,https://www.argenprop.com/departamento-en-alquiler-en-belgrano-barrancas-4-ambientes--6440782,argenprop,https://www.argenprop.com/inmuebles/alquiler/belgrano-o-br-norte-o-palermo/3-dormitorios-o-4-dormitorios-o-5-o-mas-dormitorios?pagina-2,"Excelente semi-piso frente a las barrancas de belgrano, a metros estacion, unica vista y practico punto para movilizarse sin vehiculo. Tiene 2 baños completos y cocina hechos a nuevo. La dependencia de servicio se puede utilizar como comedor diario. Cuenta el edificio con vigilancia y el estado es impecable. El departamento cuenta con 2 aires split.
Valor alquiler $ 1.850.000 + expensas, servicios",2025-08-03T15:00:30.796099
"Billinghurst 2400, Piso 14
                ",$,1750000,550000,110,3,2,https://www.argenprop.com/departamento-en-alquiler-en-parque-las-heras-4-ambientes--17465563,argenprop,https://www.argenprop.com/inmuebles/alquiler/belgrano-o-br-norte-o-palermo/3-dormitorios-o-4-dormitorios-o-5-o-mas-dormitorios?pagina-2,"4 ambientes con dependencia. Al frente con balcón. Vista al río. 2 baños completos y baño de servicio. Servicios centrales. Cochera. Seguridad 24hs. Expensas $550.000. A una cuadra del parque las heras.

Cucicba 5463",2025-08-03T15:00:30.797185
"Avenida Cerviño 3900, Piso 5
                ",USD,2700,1100000,156,3,2,https://www.argenprop.com/departamento-en-alquiler-en-palermo-chico-4-ambientes--17601465,argenprop,https://www.argenprop.com/inmuebles/alquiler/belgrano-o-br-norte-o-palermo/3-dormitorios-o-4-dormitorios-o-5-o-mas-dormitorios?pagina-2,"Excelente semi-piso con balcón terraza de 15m2 en edificio torre

vea nuestro video y tour virtual

palier privado
cocina con comedor diario
living y comedor
3 dormitorios, escritorio y dependencia de servicio.
Lavadero.
1 de los dormitorios en suite
2 baños completos y 1 toilette hechos a nuevo hace 1 año

cochera fija y baulera
vigilancia 24 horas
calefacción por losa radiante y agua caliente",2025-08-03T15:00:30.798269
"3 De Febrero 2400, Piso 2
                ",$,1700000,380000,90,3,3,https://www.argenprop.com/departamento-en-alquiler-en-belgrano-c-4-ambientes--17753365,argenprop,https://www.argenprop.com/inmuebles/alquiler/belgrano-o-br-norte-o-palermo/3-dormitorios-o-4-dormitorios-o-5-o-mas-dormitorios?pagina-2,"4 ambientes con dependencia. Al frente con balcón. Muy luminoso. 3 baños. Impecable estado. Edificio con amenities: piscina y sum con parrilla. Expensas $380.000. Apto profesional. No acepta mascotas
cucicba 5463",2025-08-03T15:00:30.799314
"Azcuénaga 1000, Piso 5
                ",$,1300000,299000,100,3,2,https://www.argenprop.com/departamento-en-alquiler-en-barrio-norte-4-ambientes--17525312,argenprop,https://www.argenprop.com/inmuebles/alquiler/belgrano-o-br-norte-o-palermo/3-dormitorios-o-4-dormitorios-o-5-o-mas-dormitorios?pagina-2,"Espectacular 4 ambientes amoblado al frente con balcón, living con salida al balcón, cocina a gas natural con comedor, muebles completos y lavadero,  dos baños  y un toilette, dormitorios con placard, muy luminoso y soleado, ubicado entre la av. Santa fe y marcelo t. Alvear.
Alquiler mínimo por 3 meses y 1 año ajustado.

Abl $62.580 
aysa $39430

se ha incluido un video recorrido a este anuncio",2025-08-03T15:00:30.800335
"Austria 1700, Piso 3
                ",USD,1700,785000,N/A,3,4,https://www.argenprop.com/departamento-en-alquiler-en-barrio-norte-4-ambientes--17502467,argenprop,https://www.argenprop.com/inmuebles/alquiler/belgrano-o-br-norte-o-palermo/3-dormitorios-o-4-dormitorios-o-5-o-mas-dormitorios?pagina-3,"Excelente piso de categoria - 4 ambientes con dependencia de servicio + sala de estar/escritorio - muy amplio - 2 entradas con puertas blindadas - living comedor - 3 dormitorios con placard (el principal en suite con gran vestidor) - ademas posee otro baño completo, toilette y baño de servicio  - 2 balcones - hermosa cocina comedor diario equipada - lavadero independiente - cochera fija cubierta y",2025-08-03T15:00:36.667080
"Villanueva al 1100
                ",USD,2500,1800000,122,3,2,https://www.argenprop.com/departamento-en-alquiler-en-belgrano-chico-4-ambientes--17762460,argenprop,https://www.argenprop.com/inmuebles/alquiler/belgrano-o-br-norte-o-palermo/3-dormitorios-o-4-dormitorios-o-5-o-mas-dormitorios?pagina-3,"Departamento en venta y alquiler  villanueva y federico lacroze  excelente zona

ubicado en una de las mejores zonas de la ciudad, sobre la calle villanueva, a metros de av. Federico lacroze, este piso de 10 años de antiguedad combina confort, amplitud y detalles de categoría.

Características principales:

piso con palier privado

amplio living-comedor

toilette de recepción

3 dormitorios",2025-08-03T15:00:36.669111
