address,currency,price,expenses,size,bedrooms,bathrooms,listing_url,website,url,description,timestamp,price_total_usd
"AVDA SANTA FE 3400, CABA, Argentina",$,1300000.0,380000.0,110.0,3,,https://www.argenprop.com/departamento-en-alquiler-en-palermo-4-ambientes--17674010,argenprop,https://www.argenprop.com/inmuebles/alquiler/belgrano-o-br-norte-o-palermo/3-dormitorios-o-4-dormitorios-o-5-o-mas-dormitorios?pagina-18,"Excelente departamento de 3 dormitorios con dependencia y cochera.

Edificio en torre de categoría.

Muy buen estado.

Amplio living comedor al contra frente.

Dormitorios con placard.

Cocina office con muebles altos y bajos.

Lavadero.

Vigilancia las 24 hs.

Excelente ubicación por cercanía a medios de comunicación y centro comercial.

Las medidas son aproximadas y a solo efecto",2025-08-03 15:03:45.689627,1400.0
"Avenida Federico Lacroze al 1900
                , CABA, Argentina",$,1200000.0,200000.0,92.0,3,,https://www.argenprop.com/departamento-en-alquiler-en-belgrano-4-ambientes--17700715,argenprop,https://www.argenprop.com/inmuebles/alquiler/belgrano-o-br-norte-o-palermo/3-dormitorios-o-4-dormitorios-o-5-o-mas-dormitorios?pagina-19,"Semipiso de 4 ambientes o 3 ambientes con dependencia
al frente con balcon. Palier semiprivado.
98m2 totales - edificio antiguo. 
El depto esta recien pintado, cocina equipamiento y artefacto nuevo a estrenar.
Pisos de madera hidrolaqueados
agua caliente central, sin calefaccion
expensas $ 200.000 (junio2025)
orientacion este, super luminoso al frente
contrato 24 meses ajuste trimestral x",2025-08-03 15:03:50.548297,1166.6666666666667
"Junin 1000
                , CABA, Argentina",USD,1100.0,390000.0,90.0,3,3.0,https://www.argenprop.com/departamento-en-alquiler-en-recoleta-4-ambientes--17765927,argenprop,https://www.argenprop.com/inmuebles/alquiler/belgrano-o-br-norte-o-palermo/3-dormitorios-o-4-dormitorios-o-5-o-mas-dormitorios?pagina-21,"Semipiso en recoleta de 2 dormitorios, con 1 toilette y un baño completo. Posee dependencia de servicio con un tercer baño y lavadero independiente con espacio para lavarropas y freezer. 
Situado en el contrafrente, muy luminoso y silencioso. Los servicios son individuales. 
Excelentemente comunicado con todos los medios de transporte ya que está emplazado a metros de la av. Santa fe. 
Se alquila",2025-08-03 15:04:04.463030,1425.0
"Juncal 1600
                , CABA, Argentina",$,1390000.0,350000.0,91.0,3,2.0,https://www.argenprop.com/departamento-en-alquiler-en-recoleta-4-ambientes--17781814,argenprop,https://www.argenprop.com/inmuebles/alquiler/belgrano-o-br-norte-o-palermo/3-dormitorios-o-4-dormitorios-o-5-o-mas-dormitorios?pagina-22,"Corredor responsable: marcelo trujillo cucicba 6470 / cmcpdjlm 810 - 
contacto: fernando campitelli
el equipo re/max alquila este semipiso de cuatro ambientes ubicado en el primer piso al contrafrente, con cochera en recoleta. 

3 dormitorios, un baño completo y uno de los dormitorios cuenta con un toilette. 

Cocina independiente con entrada de servicio,  entre la cocina y el living hay un",2025-08-03 15:04:10.801556,1450.0
"Avenida Pueyrredón 1100, CABA, Argentina",$,1100000.0,216000.0,102.0,3,,https://www.argenprop.com/departamento-en-alquiler-en-barrio-norte-4-ambientes--17581297,argenprop,https://www.argenprop.com/inmuebles/alquiler/belgrano-o-br-norte-o-palermo/3-dormitorios-o-4-dormitorios-o-5-o-mas-dormitorios?pagina-23,"Av. Pueyrredón esq. Mansilla. Muy buen cuatro ambientes con dependencia de servicio en esquina. 102m2. Living comedor y un dormitorio sobre calle mansilla, dos dormitorios y dependencia sobre av. Pueyrredón. Piso alto con vista despejada. Sol de mañana. 
Hall de ingreso amplio a living comedor y cocina. Sector privado con placard en pasillo de distribución, toilette, baño completo y tres",2025-08-03 15:04:17.840881,1096.6666666666665
"De Cuba y Avenida Olazábal
                , CABA, Argentina",$,950000.0,190000.0,90.0,3,2.0,https://www.argenprop.com/departamento-en-alquiler-en-belgrano-4-ambientes--17799567,argenprop,https://www.argenprop.com/inmuebles/alquiler/belgrano-o-br-norte-o-palermo/3-dormitorios-o-4-dormitorios-o-5-o-mas-dormitorios?pagina-23,"_ Departamento de tres dormitorios en alquiler ubicado sobre calle de cuba y avenida olazábal (belgrano, ciudad autónoma de buenos aires). Desarrollado en piso alto por ascensor, con disposición frente y orientación al suroeste.
_ El mismo posee cocina equipada con muebles sobre y bajo mesada, living comedor, tres dormitorios con placard empotrado y dos baños completos. Luminoso, cuenta con balcón",2025-08-03 15:04:17.848755,950.0
"MENDOZA 3400, CABA, Argentina",$,1290000.0,290000.0,90.0,3,3.0,https://www.argenprop.com/departamento-en-alquiler-en-belgrano-r-4-ambientes--17813924,argenprop,https://www.argenprop.com/inmuebles/alquiler/belgrano-o-br-norte-o-palermo/3-dormitorios-o-4-dormitorios-o-5-o-mas-dormitorios?pagina-24,"Torre piso 13 con excelente vista desde todos los ambientes, 4 ambientes con dependencia y cochera en torre con cámaras de vigilancia, ubicado a media cuadra avenida melián en zona totalmente residencial y de embajadas. El departamento tiene pisos de madera, es super luminoso en todos los ambientes y todos son externos, tiene entrada principal y de servicio, doble circulación, amplio living",2025-08-03 15:04:24.140266,1316.6666666666667
"Junín e/ Avenida Santa Fe y Marcelo T de Alvear
                , CABA, Argentina",$,1000000.0,430000.0,98.0,3,2.0,https://www.argenprop.com/departamento-en-alquiler-en-recoleta-4-ambientes--17820529,argenprop,https://www.argenprop.com/inmuebles/alquiler/belgrano-o-br-norte-o-palermo/3-dormitorios-o-4-dormitorios-o-5-o-mas-dormitorios?pagina-24,"_ Departamento de tres dormitorios en alquiler ubicado sobre calle junín entre avenida santa fe y marcelo t. De alvear (recoleta, ciudad autónoma de buenos aires). Desarrollado en piso alto por ascensor, con disposición frente y orientación al sur.
_ El mismo posee cocina equipada con muebles sobre y bajo mesada, living comedor, tres dormitorios con placard empotrado y dos baños completos.",2025-08-03 15:04:24.148049,1191.6666666666667
"Jerónimo Salguero e/ Gelly y Castex
                , CABA, Argentina",$,1100000.0,380000.0,90.0,3,2.0,https://www.argenprop.com/departamento-en-alquiler-en-botanico-4-ambientes--17821369,argenprop,https://www.argenprop.com/inmuebles/alquiler/belgrano-o-br-norte-o-palermo/3-dormitorios-o-4-dormitorios-o-5-o-mas-dormitorios?pagina-24,"_ Departamento de tres dormitorios en alquiler ubicado sobre calle jerónimo salguero entre gelly y castex (palermo, ciudad autónoma de buenos aires). Desarrollado en segundo piso por ascensor, con disposición contra frente y orientación al sureste.
_ El mismo posee cocina equipada con muebles sobre y bajo mesada, living comedor, tres dormitorios con placard empotrado y dos baños completos.",2025-08-03 15:04:24.149136,1233.3333333333333
"Juncal 1100
                , CABA, Argentina",$,1300000.0,450000.0,134.0,3,3.0,https://www.argenprop.com/departamento-en-alquiler-en-recoleta-4-ambientes--17851648,argenprop,https://www.argenprop.com/inmuebles/alquiler/belgrano-o-br-norte-o-palermo/3-dormitorios-o-4-dormitorios-o-5-o-mas-dormitorios?pagina-25,"Corredor responsable: juan carlos treco cucicba 4037 / cmcpdjlm 740 - 
contacto: mauricio sorrento
departamento en alquiler en excelente ubicacion. 
4 ambientes con dependencia de servicio y cochera fija cubierta.

Living - comedor de gran amplitud apaisado con muy buena luminosidad y salida a balcón al frente.
Cuenta con doble circulación que conecta a los dormitorios y cocina. 
2 dormitorios",2025-08-03 15:04:30.397992,1458.3333333333333
"Juncal 3600
                , CABA, Argentina",$,1100000.0,350975.0,125.0,3,2.0,https://www.argenprop.com/departamento-en-alquiler-en-palermo-3-ambientes--17851694,argenprop,https://www.argenprop.com/inmuebles/alquiler/belgrano-o-br-norte-o-palermo/3-dormitorios-o-4-dormitorios-o-5-o-mas-dormitorios?pagina-25,"Corredor responsable: marcelo trujillo cucicba 6470 / cmcpdjlm 810 - 
contacto: rodrigo varela
alquiler dpto.  3 amb mas dependencia palermo


el equipo remax alquila excelente semipiso al frente con 3 ambientes mas dependencia o 4to. Ambiente con inmejorable ubicación (a 1 cuadra del jardín botánico).

Edificio de categoría, obra del arq. Dubourg (galerías alvear, claridge hotel, etc).

Muy buen",2025-08-03 15:04:30.399086,1209.1458333333333
"Avenida Luis María Campos 1100
                , CABA, Argentina",$,1400000.0,360000.0,108.0,3,2.0,https://www.argenprop.com/departamento-en-alquiler-en-palermo-4-ambientes--17898720,argenprop,https://www.argenprop.com/inmuebles/alquiler/belgrano-o-br-norte-o-palermo/3-dormitorios-o-4-dormitorios-o-5-o-mas-dormitorios?pagina-27,"Corredor responsable: juan francisco carattino cpi 5457 / cmcpsi 6787 - 
contacto: sol vazquez
dúplex de 3 dormitorios en alquiler – vista abierta, luz natural y excelente ubicación sobre av. Luis maría campos

av. Luis maría campos al 1000 – belgrano
 3 dormitorios |  2 baños + toilette |  dúplex 15° y 16° piso |  muy luminoso |  posibilidad de cochera

descubrí este espectacular departamento",2025-08-03 15:04:43.656653,1466.6666666666667
"Mariscal Antonio José de Sucre 2300
                , CABA, Argentina",$,1400000.0,370000.0,134.0,3,2.0,https://www.argenprop.com/departamento-en-alquiler-en-belgrano-4-ambientes--17898922,argenprop,https://www.argenprop.com/inmuebles/alquiler/belgrano-o-br-norte-o-palermo/3-dormitorios-o-4-dormitorios-o-5-o-mas-dormitorios?pagina-27,"Corredor responsable: veronica grela reina cucicba 4731 / cmcpsi  6470 - 
contacto: andres enrique stern
alquiler sobre la calle sucre al 2300, a pocos mts de la av cabildo, belgrano.
Ubicado en el 2do piso con balcon al frente.
Pisos recien pulidos, toda la unidad pintada.
4 ambientes , dependencia de servicio.
Amplio living , comedor diario o escritorio, salida al balcon, pisos de parquet en",2025-08-03 15:04:43.657773,1475.0
"Honduras al 6000
                , CABA, Argentina",$,1300000.0,350000.0,,3,,https://www.argenprop.com/departamento-en-alquiler-en-palermo-4-ambientes--17900251,argenprop,https://www.argenprop.com/inmuebles/alquiler/belgrano-o-br-norte-o-palermo/3-dormitorios-o-4-dormitorios-o-5-o-mas-dormitorios?pagina-27,"Complejo de 3 torres con reja perimetral, jardines, pileta, solarium, seguridad 24 horas
departamento al frente de 4 ambientes con cochera fija en primer subsuelo n 13, muy luminoso,orientacion norte muy buen estado, cocida y baños refaccionados, pisos  flotantes, serv ind 2 split frio calor, ventilador de techo, agua caliente central. Expensas $ 350000
hall 1x10
living comedor de 6,10x3,70/3 con",2025-08-03 15:04:43.659970,1375.0
"La Pampa 1800
                , CABA, Argentina",$,1200000.0,550000.0,,3,2.0,https://www.argenprop.com/departamento-en-alquiler-en-belgrano-barrancas--17907519,argenprop,https://www.argenprop.com/inmuebles/alquiler/belgrano-o-br-norte-o-palermo/3-dormitorios-o-4-dormitorios-o-5-o-mas-dormitorios?pagina-27,"Alquiler, barrancas de belgrano, la pampa al 1800, ms de barrancas, torre de categoría,vigilancia 24 hs., Cochera fija, palier privado,superficie. Total 104 m2, piso 6°, frente, balcón aterrazado, gran living comedor, 2 dormitorios c/ dependencia o 3er dormitorio con 2 baños completos,(1 suite), toilette, cocina con amoblamiento completo en u, losa radiante, 2 a/acondicionado, impecable estado.",2025-08-03 15:04:43.672053,1458.3333333333333
"Aguero Y Santa Fe
                , CABA, Argentina",$,1000000.0,350000.0,150.0,3,3.0,https://www.argenprop.com/departamento-en-alquiler-en-recoleta-4-ambientes--17908234,argenprop,https://www.argenprop.com/inmuebles/alquiler/belgrano-o-br-norte-o-palermo/3-dormitorios-o-4-dormitorios-o-5-o-mas-dormitorios?pagina-27,"Departamento dúplex 4to y 5to piso, de estilo en recoleta.
Living. Comedor. 2 dormitorios. Estudio o 3er
dormitorio. 2 baños. Cocina. Lavadero. Comedor diario o dependencia de servicio con 3er baño.
Zona agüero y santa fé.",2025-08-03 15:04:43.677784,1125.0
